Image, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
disgust138,0,0,1.72,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0.76,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust139,0,0,1.47,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust140,0,0,1.23,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust141,0.11,0,1.36,0.18,0,1.96,0,0,0,0,0,0,0,0,0,0,0.22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust142,0.26,0,1.44,0.25,0,2.28,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust143,0.39,0,1.48,0.28,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust144,0.32,0,1.33,0.1,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust145,0.19,0,1.13,0.03,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust146,0.06,0,0.98,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust147,0.21,0,0.91,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust148,0.32,0,0.88,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust149,0.41,0,0.79,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust150,0.24,0,1.1,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust151,0.1,0,1.5,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust152,0,0,1.95,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust153,0.05,0.02,1.36,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust154,0.14,0.16,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust155,0.27,0.3,0.31,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust156,0.22,0.32,0.48,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust157,0.14,0.25,0.76,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0.4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust158,0.05,0.32,1.23,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0.46,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust159,0.43,0.92,1.53,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0.22,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust160,0.94,1.52,1.71,0.08,0,2.29,0,0,0,0,0,0,0,0,0,0,0.07,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust161,1.39,1.98,1.66,0.19,0,1.86,0,0,0,0,0,0,0,0,0,0,0.07,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust162,1.03,1.35,1.29,0.19,0,1.38,0,0,0,0,0,0,0,0,0,0,0.11,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust163,0.53,0.68,0.78,0.11,0,0.94,0,0,0,0,0,0,0,0,0,0,0.19,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust164,0.04,0.01,0.28,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust165,0.03,0,0.29,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0.22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust166,0.01,0,0.41,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust167,0,0,0.48,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust168,0,0,0.69,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust169,0,0,0.89,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0.11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust170,0,0,1.07,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust171,0,0,1.24,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust172,0,0,1.46,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0.03,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust173,0,0,1.63,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust174,0,0,1.47,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0.11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust175,0,0,1.22,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0.14,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust176,0,0,1.12,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust177,0,0,1.26,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0.14,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear1,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear2,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear3,0,0,0.48,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear4,0,0,0.78,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0.51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear5,0,0,1.03,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0.73,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear6,0.04,0,0.74,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear7,0.08,0,0.45,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0.22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear8,0.13,0,0.23,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear9,0.24,0,0.23,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear10,0.46,0,0.13,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear11,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear12,0.43,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fear13,0.18,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fear14,0,0,0.3,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fear15,0,0,0.39,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fear16,0,0,0.58,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear17,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear18,0,0,0.76,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0.14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear19,0,0,0.89,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear20,0,0,1.35,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear21,0,0,0.96,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear22,0,0.22,0.55,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear23,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear24,0.3,0.78,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear25,0.47,0.67,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear26,0.58,0.64,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear27,0.28,0.3,0.45,1.16,0,0.57,0,0,0,0,0,0,0,0,0,0,0.44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear28,0.11,0.18,0.89,0.55,0,1.18,0,0,0,0,0,0,0,0,0,0,0.78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear29,0,0,1.26,0,0,1.8,0,0,0,0,0,0,0,0,0,0,1.17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear30,0.33,0.4,0.81,0.1,0,1.24,0,0,0,0,0,0,0,0,0,0,0.76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear31,0.73,0.88,0.37,0.24,0,0.62,0,0,0,0,0,0,0,0,0,0,0.39,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear32,1.09,1.27,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear33,0.77,0.87,0,0.3,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear34,0.36,0.39,0,0.16,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear35,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear36,0.46,0.4,0,0.9,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear37,0.84,0.78,0,1.79,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear38,1.25,1.19,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear39,0.79,0.79,0.08,1.83,0,0.49,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear40,0.4,0.4,0.19,0.94,0,0.79,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fear41,0,0,0.24,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear42,0,0,0.65,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear43,0,0,1.06,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear44,0,0,1.57,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear45,0,0,1.08,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear46,0,0,0.56,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.06,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear47,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear48,0.51,0,0.11,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
fear49,1.09,0,0.27,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear50,1.64,0,0.5,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear51,1.55,0.07,0.64,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.05,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear52,1.47,0.07,0.67,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.05,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear53,1.39,0.07,0.57,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0.05,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear54,0.98,0,0.67,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0.06,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear55,0.47,0,0.83,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0.14,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear56,0,0,1.07,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0.34,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear57,0,0,0.97,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear58,0,0,0.85,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear59,0,0,0.62,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear60,0.43,0,0.36,0.12,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear61,0.88,0,0.14,0.28,0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear62,1.3,0,0,0.38,0,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear63,1.9,0.23,0.39,0.26,0,0.19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear64,2.51,0.45,0.82,0.1,0,0.29,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear65,3.26,0.63,1.26,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear66,2.85,0.87,1.15,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear67,2.38,1.07,1.04,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear68,1.77,1.22,0.95,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear69,1.14,0.74,0.66,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear70,0.55,0.33,0.38,0.06,0,0.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear71,0.06,0,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear72,0.17,0,0.65,0.1,0,0.19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear73,0.19,0,1.21,0.03,0,0.42,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear74,0.13,0,1.82,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fear75,0,0,1.84,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise6,0.24,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise7,0.1,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise8,0.06,0,0.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise9,0.07,0,0.38,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise10,0.07,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise12,0,0.08,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0.27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise13,0.05,0.2,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise14,0.08,0.27,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise15,0.15,0.21,0,0.1,0,0.34,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise16,0.2,0.13,0,0.1,0,0.26,0,0,0,0,0,0,0,0,0,0,0.27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise17,0.23,0.06,0,0.31,0,0.41,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise18,0.68,0.22,0,0.21,0,0.6,0,0,0,0,0,0,0,0,0,0,0.19,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise19,1.34,0.52,0,0.21,0,0.84,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise20,2.05,0.92,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise21,1.65,0.76,0.25,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise22,1.11,0.54,0.53,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise23,0.34,0.14,0.53,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise24,0.22,0.12,0.28,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise26,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise27,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surprise28,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise29,0.35,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise30,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise31,0.84,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise32,0.49,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise33,0.61,0.22,0.07,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise34,1.21,0.37,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise35,1.86,0.59,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise36,1.43,0.76,0.12,0.52,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise37,0.98,0.88,0.31,0.29,0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise38,0.57,0.94,0.54,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise39,0.4,0.55,0.46,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise40,0.24,0.28,0.27,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise41,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise42,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise43,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise44,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise45,0.67,0.57,0,0.08,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise46,1.31,1.08,0,0.08,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise47,1.31,1.08,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise48,0.64,0.52,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise49,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise50,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
